Date, Open, High, Low, Close, Volume
09/03/19, 290.82, 293.90, 288.06, 289.29, 3684177
08/30/19, 298.78, 298.94, 290.85, 293.75, 4447990
08/29/19, 295.00, 299.93, 294.99, 296.78, 4392532
08/28/19, 289.47, 292.82, 287.75, 291.77, 3958043
08/27/19, 294.54, 296.77, 287.1968, 291.03, 6314559
08/26/19, 295.24, 296.95, 292.50, 294.98, 4696982
08/23/19, 295.00, 299.01, 290.32, 291.44, 6331189
08/22/19, 298.65, 300.33, 293.15, 296.93, 4977042
08/21/19, 301.61, 302.88, 296.20, 297.81, 5689746
08/20/19, 304.57, 305.00, 297.6811, 298.99, 7352162
08/19/19, 306.25, 311.75, 304.75, 309.38, 4951733
08/16/19, 298.86, 303.55, 296.27, 302.80, 7090757
08/15/19, 299.50, 300.63, 288.00, 295.76, 9683384
08/14/19, 308.01, 308.41, 298.005, 299.11, 7355753
08/13/19, 309.77, 316.43, 308.16, 312.28, 5338761
08/12/19, 305.46, 312.89, 303.24, 310.83, 6531722
08/09/19, 313.74, 316.64, 305.68, 308.93, 5349059
08/08/19, 311.03, 316.3648, 306.63, 315.90, 5905865
08/07/19, 302.56, 305.00, 296.8126, 304.29, 9322433
08/06/19, 310.58, 311.88, 305.30, 310.10, 6179090
08/05/19, 310.96, 313.4179, 304.677, 307.63, 8692485
08/02/19, 317.49, 319.41, 311.80, 318.83, 6280343
08/01/19, 324.25, 328.58, 318.735, 319.50, 6563156
07/31/19, 325.16, 331.77, 318.53, 322.99, 6259494
07/30/19, 329.20, 329.65, 323.23, 325.93, 6029320
07/29/19, 335.98, 336.40, 328.77, 332.70, 5782817
07/26/19, 328.79, 336.00, 327.50, 335.78, 10847500
07/25/19, 318.86, 327.69, 316.30, 326.46, 10798500
07/24/19, 310.51, 319.99, 307.25, 317.94, 11961820
07/23/19, 311.44, 313.50, 306.00, 307.30, 9171068
07/22/19, 312.00, 314.54, 305.81, 310.62, 17725330
07/19/19, 323.40, 325.85, 314.23, 315.10, 16302480
07/18/19, 323.76, 329.85, 320.30, 325.21, 31305900
07/17/19, 366.25, 366.50, 361.75, 362.44, 13639540
07/16/19, 370.09, 371.34, 364.92, 365.99, 5863222
07/15/19, 372.94, 373.68, 362.30, 366.60, 7944680
07/12/19, 378.68, 379.7375, 372.7917, 373.25, 6636937
07/11/19, 381.10, 384.54, 378.80, 379.50, 4336287
07/10/19, 382.77, 384.3399, 377.40, 381.00, 5878790
07/09/19, 379.06, 384.76, 377.50, 379.93, 6932822
07/08/19, 378.19, 378.25, 375.36, 376.16, 3113402
07/05/19, 378.29, 381.40, 375.555, 380.55, 3732162
07/03/19, 376.69, 381.99, 375.84, 381.72, 3799009
07/02/19, 374.89, 376.00, 370.31, 375.43, 3628962
07/01/19, 373.50, 376.66, 372.00, 374.60, 5001518
06/28/19, 370.26, 371.5448, 364.87, 367.32, 4592706
06/27/19, 363.20, 370.85, 363.20, 370.02, 4138575
06/26/19, 361.60, 366.79, 361.60, 362.20, 3669677
06/25/19, 370.75, 370.9994, 358.29, 360.30, 5750383
06/24/19, 370.27, 375.00, 370.20, 371.04, 4830240
06/21/19, 365.00, 371.45, 365.00, 369.21, 7448356
06/20/19, 365.91, 370.12, 361.215, 365.21, 5899467
06/19/19, 361.72, 364.74, 356.12, 363.52, 5667156
06/18/19, 355.57, 361.50, 353.75, 357.12, 5428542
06/17/19, 342.69, 351.77, 342.06, 350.62, 5358219
06/14/19, 341.63, 343.40, 336.155, 339.73, 5019011
06/13/19, 347.23, 348.50, 339.25, 343.43, 6209347
06/12/19, 351.82, 353.61, 343.23, 345.56, 4584704
06/11/19, 355.00, 357.58, 348.50, 351.27, 5396712
06/10/19, 363.65, 367.10, 349.285, 352.01, 7810261
06/07/19, 357.39, 365.15, 355.69, 360.87, 4777321
06/06/19, 354.84, 358.21, 352.09, 357.13, 3709955
06/05/19, 354.38, 357.88, 348.71, 355.73, 5020081
06/04/19, 345.00, 353.61, 343.25, 353.40, 7891632
06/03/19, 343.56, 347.66, 332.65, 336.63, 7849589
05/31/19, 347.22, 349.34, 342.92, 343.28, 5023449
